sensorId,latitude,longitude,Month,Date,Counts
1,-37.8134944,144.96515324,2,1.0,4332.0
1,-37.8134944,144.96515324,2,2.0,3182.0
1,-37.8134944,144.96515324,2,3.0,4433.0
1,-37.8134944,144.96515324,2,4.0,2766.0
1,-37.8134944,144.96515324,2,5.0,2655.0
1,-37.8134944,144.96515324,2,6.0,3571.0
1,-37.8134944,144.96515324,2,7.0,3269.0
1,-37.8134944,144.96515324,2,8.0,3920.0
1,-37.8134944,144.96515324,2,9.0,4578.0
1,-37.8134944,144.96515324,2,10.0,2090.0
1,-37.8134944,144.96515324,2,11.0,3219.0
1,-37.8134944,144.96515324,2,12.0,2465.0
1,-37.8134944,144.96515324,2,13.0,3289.0
1,-37.8134944,144.96515324,2,14.0,4441.0
1,-37.8134944,144.96515324,2,15.0,4148.0
1,-37.8134944,144.96515324,2,16.0,4162.0
1,-37.8134944,144.96515324,2,17.0,4345.0
1,-37.8134944,144.96515324,2,18.0,3776.0
1,-37.8134944,144.96515324,2,19.0,3918.0
1,-37.8134944,144.96515324,2,20.0,4010.0
1,-37.8134944,144.96515324,2,21.0,4484.0
1,-37.8134944,144.96515324,2,22.0,4161.0
1,-37.8134944,144.96515324,2,23.0,4398.0
1,-37.8134944,144.96515324,2,24.0,5409.0
1,-37.8134944,144.96515324,2,25.0,4269.0
1,-37.8134944,144.96515324,2,26.0,4085.0
1,-37.8134944,144.96515324,2,27.0,5098.0
1,-37.8134944,144.96515324,2,28.0,5012.0
1,-37.8134944,144.96515324,2,29.0,3766.0
1,-37.8134944,144.96515324,2,30.0,4821.0
1,-37.8134944,144.96515324,1,1.0,26263.0
1,-37.8134944,144.96515324,1,2.0,26315.0
1,-37.8134944,144.96515324,1,3.0,26329.0
1,-37.8134944,144.96515324,1,4.0,26772.0
1,-37.8134944,144.96515324,1,5.0,25622.0
1,-37.8134944,144.96515324,1,6.0,31087.0
1,-37.8134944,144.96515324,1,7.0,29275.0
1,-37.8134944,144.96515324,1,8.0,28123.0
1,-37.8134944,144.96515324,1,9.0,24693.0
1,-37.8134944,144.96515324,1,10.0,27938.0
1,-37.8134944,144.96515324,1,11.0,27169.0
1,-37.8134944,144.96515324,1,12.0,28942.0
1,-37.8134944,144.96515324,1,13.0,26472.0
1,-37.8134944,144.96515324,1,14.0,24473.0
1,-37.8134944,144.96515324,1,15.0,18231.0
1,-37.8134944,144.96515324,1,16.0,21826.0
1,-37.8134944,144.96515324,1,17.0,19012.0
1,-37.8134944,144.96515324,1,18.0,15806.0
1,-37.8134944,144.96515324,1,19.0,14949.0
1,-37.8134944,144.96515324,1,20.0,15569.0
1,-37.8134944,144.96515324,1,21.0,11300.0
1,-37.8134944,144.96515324,1,22.0,9601.0
1,-37.8134944,144.96515324,1,23.0,10079.0
1,-37.8134944,144.96515324,1,24.0,7406.0
1,-37.8134944,144.96515324,1,25.0,5526.0
1,-37.8134944,144.96515324,1,26.0,6425.0
1,-37.8134944,144.96515324,1,27.0,6429.0
1,-37.8134944,144.96515324,1,28.0,6085.0
1,-37.8134944,144.96515324,1,29.0,4103.0
1,-37.8134944,144.96515324,1,30.0,4773.0
1,-37.8134944,144.96515324,1,31.0,4363.0
2,-37.81380667,144.96516719,2,1.0,3259.0
2,-37.81380667,144.96516719,2,2.0,2884.0
2,-37.81380667,144.96516719,2,3.0,3339.0
2,-37.81380667,144.96516719,2,4.0,2255.0
2,-37.81380667,144.96516719,2,5.0,2132.0
2,-37.81380667,144.96516719,2,6.0,3147.0
2,-37.81380667,144.96516719,2,7.0,2957.0
2,-37.81380667,144.96516719,2,8.0,3104.0
2,-37.81380667,144.96516719,2,9.0,3449.0
2,-37.81380667,144.96516719,2,10.0,1361.0
2,-37.81380667,144.96516719,2,11.0,2459.0
2,-37.81380667,144.96516719,2,12.0,1820.0
2,-37.81380667,144.96516719,2,13.0,2494.0
2,-37.81380667,144.96516719,2,14.0,3265.0
2,-37.81380667,144.96516719,2,15.0,3300.0
2,-37.81380667,144.96516719,2,16.0,3067.0
2,-37.81380667,144.96516719,2,17.0,3438.0
2,-37.81380667,144.96516719,2,18.0,3122.0
2,-37.81380667,144.96516719,2,19.0,2825.0
2,-37.81380667,144.96516719,2,20.0,3050.0
2,-37.81380667,144.96516719,2,21.0,3269.0
2,-37.81380667,144.96516719,2,22.0,3318.0
2,-37.81380667,144.96516719,2,23.0,3195.0
2,-37.81380667,144.96516719,2,24.0,3745.0
2,-37.81380667,144.96516719,2,25.0,3141.0
2,-37.81380667,144.96516719,2,26.0,2840.0
2,-37.81380667,144.96516719,2,27.0,3550.0
2,-37.81380667,144.96516719,2,28.0,3674.0
2,-37.81380667,144.96516719,2,29.0,3106.0
2,-37.81380667,144.96516719,2,30.0,3838.0
2,-37.81380667,144.96516719,1,1.0,15849.0
2,-37.81380667,144.96516719,1,2.0,19560.0
2,-37.81380667,144.96516719,1,3.0,20174.0
2,-37.81380667,144.96516719,1,4.0,19902.0
2,-37.81380667,144.96516719,1,5.0,19784.0
2,-37.81380667,144.96516719,1,6.0,23734.0
2,-37.81380667,144.96516719,1,7.0,22348.0
2,-37.81380667,144.96516719,1,8.0,19178.0
2,-37.81380667,144.96516719,1,9.0,16400.0
2,-37.81380667,144.96516719,1,10.0,19479.0
2,-37.81380667,144.96516719,1,11.0,19511.0
2,-37.81380667,144.96516719,1,12.0,20422.0
2,-37.81380667,144.96516719,1,13.0,20825.0
2,-37.81380667,144.96516719,1,14.0,18452.0
2,-37.81380667,144.96516719,1,15.0,13550.0
2,-37.81380667,144.96516719,1,16.0,15930.0
2,-37.81380667,144.96516719,1,17.0,13478.0
2,-37.81380667,144.96516719,1,18.0,12313.0
2,-37.81380667,144.96516719,1,19.0,12146.0
2,-37.81380667,144.96516719,1,20.0,12304.0
2,-37.81380667,144.96516719,1,21.0,9764.0
2,-37.81380667,144.96516719,1,22.0,6865.0
2,-37.81380667,144.96516719,1,23.0,8920.0
2,-37.81380667,144.96516719,1,24.0,5516.0
2,-37.81380667,144.96516719,1,25.0,4940.0
2,-37.81380667,144.96516719,1,26.0,4802.0
2,-37.81380667,144.96516719,1,27.0,4253.0
2,-37.81380667,144.96516719,1,28.0,3859.0
2,-37.81380667,144.96516719,1,29.0,2889.0
2,-37.81380667,144.96516719,1,30.0,3533.0
2,-37.81380667,144.96516719,1,31.0,2993.0
3,-37.81101523,144.96429485,2,1.0,3958.0
3,-37.81101523,144.96429485,2,2.0,3268.0
3,-37.81101523,144.96429485,2,3.0,4143.0
3,-37.81101523,144.96429485,2,4.0,3374.0
3,-37.81101523,144.96429485,2,5.0,3288.0
3,-37.81101523,144.96429485,2,6.0,4219.0
3,-37.81101523,144.96429485,2,7.0,3905.0
3,-37.81101523,144.96429485,2,8.0,4134.0
3,-37.81101523,144.96429485,2,9.0,4559.0
3,-37.81101523,144.96429485,2,10.0,4020.0
3,-37.81101523,144.96429485,2,11.0,3951.0
3,-37.81101523,144.96429485,2,12.0,3438.0
3,-37.81101523,144.96429485,2,13.0,4040.0
3,-37.81101523,144.96429485,2,14.0,4488.0
3,-37.81101523,144.96429485,2,15.0,4238.0
3,-37.81101523,144.96429485,2,16.0,4454.0
3,-37.81101523,144.96429485,2,17.0,4564.0
3,-37.81101523,144.96429485,2,18.0,4586.0
3,-37.81101523,144.96429485,2,19.0,4472.0
3,-37.81101523,144.96429485,2,20.0,4014.0
3,-37.81101523,144.96429485,2,21.0,4227.0
3,-37.81101523,144.96429485,2,22.0,4563.0
3,-37.81101523,144.96429485,2,23.0,4429.0
3,-37.81101523,144.96429485,2,24.0,5286.0
3,-37.81101523,144.96429485,2,25.0,5558.0
3,-37.81101523,144.96429485,2,26.0,4520.0
3,-37.81101523,144.96429485,2,27.0,4968.0
3,-37.81101523,144.96429485,2,28.0,4741.0
3,-37.81101523,144.96429485,2,29.0,3286.0
3,-37.81101523,144.96429485,2,30.0,4554.0
3,-37.81101523,144.96429485,1,1.0,26840.0
3,-37.81101523,144.96429485,1,2.0,27900.0
3,-37.81101523,144.96429485,1,3.0,28003.0
