Month,Mdate,Sensor_ID,Hourly_Counts
April,7,30,1580
April,7,31,1427
April,7,34,665
April,7,35,5978
April,7,36,1130
April,7,37,782
April,7,39,735
April,7,40,1257
April,7,41,5639
April,7,42,640
April,7,43,294
April,7,44,0
April,7,45,2816
April,7,46,456
April,7,47,4659
April,7,48,1690
April,7,49,1870
April,7,50,1150
April,7,51,1412
April,7,52,1300
April,7,53,2722
April,7,54,523
April,7,55,7067
April,7,56,1809
April,7,57,1071
April,7,58,3143
April,7,59,717
April,7,61,1693
April,7,62,1242
April,7,63,2183
April,7,65,1800
April,7,66,3783
April,8,1,3920
April,8,2,3104
April,8,3,4134
April,8,4,4765
April,8,5,3426
April,8,6,4427
April,8,7,2251
April,8,8,2069
April,8,9,2081
April,8,10,741
April,8,11,801
April,8,12,2637
April,8,17,1985
April,8,18,1270
April,8,19,1518
April,8,20,853
April,8,21,2843
April,8,22,10635
April,8,23,1795
April,8,24,5672
April,8,26,3331
April,8,27,870
April,8,28,2686
April,8,29,1323
April,8,30,1565
April,8,31,1518
April,8,34,663
April,8,35,6358
April,8,36,1277
April,8,37,817
April,8,39,725
April,8,40,1176
April,8,41,6086
April,8,42,626
April,8,43,341
April,8,44,126
April,8,45,3224
April,8,46,460
April,8,47,4675
April,8,48,1181
April,8,49,1536
April,8,50,1267
April,8,51,1226
April,8,52,1722
April,8,53,2842
April,8,54,662
April,8,55,7191
April,8,56,1396
April,8,57,1165
April,8,58,3107
April,8,59,677
April,8,61,1840
April,8,62,1391
April,8,63,2255
April,8,65,1974
April,8,66,3839
April,9,1,4578
April,9,2,3449
April,9,3,4559
April,9,4,5016
April,9,5,3801
April,9,6,5089
April,9,7,2541
April,9,8,2407
April,9,9,2118
April,9,10,911
April,9,11,983
April,9,12,3024
April,9,17,2136
April,9,18,1383
April,9,19,1975
April,9,20,728
April,9,21,3178
April,9,22,12601
April,9,23,1913
April,9,24,5801
April,9,26,5534
April,9,27,1600
April,9,28,3050
April,9,29,1539
April,9,30,1729
April,9,31,1856
April,9,34,711
April,9,35,7763
April,9,36,1345
April,9,37,938
April,9,39,700
April,9,40,1244
April,9,41,6327
April,9,42,651
April,9,43,420
April,9,44,348
April,9,45,3262
April,9,46,469
April,9,47,5398
April,9,48,8766
April,9,49,2705
April,9,50,1583
April,9,51,1459
April,9,52,1539
April,9,53,3227
April,9,54,709
April,9,55,7866
April,9,56,1917
April,9,57,1219
April,9,58,3234
April,9,59,601
April,9,61,2075
April,9,62,1406
April,9,63,2385
April,9,65,2113
April,9,66,4436
April,10,1,2090
April,10,2,1361
April,10,3,4020
April,10,4,2790
April,10,5,2954
April,10,6,2812
April,10,7,3211
April,10,8,2543
April,10,9,616
April,10,10,536
April,10,11,1223
April,10,12,3435
April,10,17,865
April,10,18,349
April,10,19,1678
April,10,20,637
April,10,21,2043
April,10,22,6130
April,10,23,701
April,10,24,2703
April,10,26,3026
April,10,27,765
April,10,28,2133
April,10,29,1782
April,10,30,1299
April,10,31,1244
April,10,34,605
April,10,35,7739
April,10,36,498
April,10,37,655
April,10,39,124
April,10,40,558
April,10,41,3254
April,10,42,525
April,10,43,400
April,10,44,358
April,10,45,1857
April,10,46,306
April,10,47,2758
April,10,48,965
April,10,49,1635
April,10,50,1391
April,10,51,818
April,10,52,772
April,10,53,890
April,10,54,503
April,10,55,5714
April,10,56,841
April,10,57,530
April,10,58,1380
April,10,59,456
April,10,61,1032
April,10,62,1107
April,10,63,1141
April,10,65,1419
April,10,66,2726
April,11,1,3219
April,11,2,2459
April,11,3,3951
April,11,4,3187
April,11,5,2126
April,11,6,3235
April,11,7,1223
April,11,8,1232
April,11,9,512
April,11,10,396
April,11,11,428
April,11,12,1615
April,11,17,693
April,11,18,310
April,11,19,1534
April,11,20,594
April,11,21,2217
April,11,22,8102
April,11,23,618
April,11,24,2907
April,11,26,5514
April,11,27,1545
April,11,28,1597
April,11,29,831
April,11,30,1256
April,11,31,1256
April,11,34,402
April,11,35,3641
April,11,36,478
April,11,37,676
April,11,39,143
April,11,40,502
April,11,41,2781
April,11,42,420
April,11,43,249
April,11,44,201
April,11,45,1783
April,11,46,260
April,11,47,3313
April,11,48,10069
April,11,49,3040
April,11,50,1368
April,11,51,1084
April,11,52,948
April,11,53,1228
April,11,54,430
April,11,55,6343
April,11,56,1038
April,11,57,372
April,11,58,1653
April,11,59,584
April,11,61,1556
April,11,62,1065
April,11,63,1251
April,11,65,1034
April,11,66,4082
April,12,1,2465
April,12,2,1820
April,12,3,3438
April,12,4,2791
April,12,5,2531
April,12,6,3147
April,12,7,2359
April,12,8,1999
April,12,9,596
April,12,10,326
April,12,11,895
April,12,12,2779
April,12,17,657
April,12,18,246
April,12,19,1516
April,12,20,546
April,12,21,2167
April,12,22,6594
April,12,23,564
April,12,24,2480
April,12,26,4382
April,12,27,1085
April,12,28,1787
April,12,29,1422
April,12,30,1145
April,12,31,993
April,12,34,537
April,12,35,6189
April,12,36,336
April,12,37,596
April,12,39,131
April,12,40,523
April,12,41,2974
April,12,42,469
April,12,43,276
April,12,44,238
April,12,45,1711
April,12,46,277
April,12,47,2814
April,12,48,1573
April,12,49,2091
April,12,50,930
April,12,51,873
April,12,52,833
April,12,53,904
April,12,54,437
April,12,55,5422
April,12,56,933
April,12,57,285
April,12,58,1474
April,12,59,543
April,12,61,1354
April,12,62,919
April,12,63,1054
April,12,65,1277
April,12,66,3472
April,13,1,3289
April,13,2,2494
April,13,3,4040
April,13,4,3464
April,13,5,3225
April,13,6,3548
April,13,7,3774
April,13,8,3210
April,13,9,683
April,13,10,484
April,13,11,1338
April,13,12,4018
April,13,17,1017
April,13,18,366
April,13,19,1593
April,13,20,527
April,13,21,2445
April,13,22,8834
April,13,23,730
April,13,24,2767
April,13,26,2779
April,13,27,872
April,13,28,2435
April,13,29,2085
April,13,30,1321
April,13,31,1235
April,13,34,656
April,13,35,8906
April,13,36,390
April,13,37,713
April,13,39,167
April,13,40,668
April,13,41,3618
April,13,42,494
April,13,43,404
April,13,44,357
April,13,45,2289
April,13,46,347
April,13,47,3211
April,13,48,1132
April,13,49,1477
April,13,50,1238
April,13,51,865
April,13,52,934
April,13,53,1123
April,13,54,440
April,13,55,5595
April,13,56,1067
April,13,57,489
April,13,58,1640
April,13,59,482
April,13,61,1423
April,13,62,1042
April,13,63,1434
April,13,65,1819
April,13,66,3746
April,14,1,4441
April,14,2,3265
April,14,3,4488
April,14,4,4646
April,14,5,3534
April,14,6,4495
April,14,7,2288
April,14,8,2383
April,14,9,1944
April,14,10,800
April,14,11,1125
April,14,12,3194
April,14,17,1781
April,14,18,1163
April,14,19,1970
April,14,20,741
April,14,21,2918
April,14,22,11314
April,14,23,1655
April,14,24,5527
April,14,26,4537
April,14,27,1160
April,14,28,2649
April,14,29,1340
April,14,30,1546
April,14,31,1332
April,14,34,739
April,14,35,6561
April,14,36,1238
April,14,37,918
April,14,39,589
April,14,40,1262
April,14,41,5365
April,14,42,513
April,14,43,340
April,14,44,296
April,14,45,2983
April,14,46,320
April,14,47,4956
April,14,48,1699
April,14,49,1998
April,14,50,1234
April,14,51,1137
April,14,52,1470
April,14,53,2799
April,14,54,541
April,14,55,6896
April,14,56,1461
April,14,57,1059
April,14,58,3093
April,14,59,691
April,14,61,1766
April,14,62,1174
April,14,63,2266
April,14,65,1941
April,14,66,4192
April,15,1,4148
April,15,2,3300
April,15,3,4238
April,15,4,4845
April,15,5,3441
April,15,6,4990
April,15,7,2362
April,15,8,2145
April,15,9,1931
April,15,10,729
April,15,11,1089
April,15,12,3029
April,15,17,1820
April,15,18,1158
April,15,19,1964
April,15,20,828
April,15,21,2574
April,15,22,10684
April,15,23,1642
April,15,24,5725
April,15,25,5355
April,15,26,3237
April,15,27,817
April,15,28,2552
April,15,29,1368
April,15,30,1637
April,15,31,1385
April,15,34,712
April,15,35,6732
April,15,36,1254
April,15,37,817
April,15,39,618
April,15,40,1155
April,15,41,5384
April,15,42,735
April,15,43,424
April,15,44,387
April,15,45,3222
April,15,46,502
April,15,47,4754
April,15,48,1145
April,15,49,1724
April,15,50,1358
April,15,51,1144
April,15,52,1364
April,15,53,2848
April,15,54,572
April,15,55,6844
April,15,56,1506
April,15,57,1110
April,15,58,3635
April,15,59,676
April,15,61,1750
April,15,62,1151
April,15,63,2398
April,15,65,2031
April,15,66,3933
April,16,1,4162
April,16,2,3067
April,16,3,4454
April,16,4,4522
April,16,5,3397
April,16,6,4796
April,16,7,2094
April,16,8,1990
April,16,9,2286
April,16,10,762
April,16,11,970
April,16,12,2812
April,16,17,2006
April,16,18,1189
April,16,19,1753
April,16,20,859
April,16,21,2958
April,16,22,10746
April,16,23,1795
April,16,24,5621
April,16,25,4750
April,16,26,4742
April,16,27,1147
April,16,28,2674
April,16,29,1228
April,16,30,1668
April,16,31,1396
April,16,34,734
April,16,35,6354
April,16,36,1439
April,16,37,951
April,16,39,662
April,16,40,1262
April,16,41,5562
April,16,42,677
April,16,43,367
April,16,44,259
April,16,45,2881
April,16,46,458
April,16,47,4701
April,16,48,1761
April,16,49,1983
April,16,50,1259
April,16,51,1363
April,16,52,1519
April,16,53,2921
April,16,54,557
April,16,55,7062
April,16,56,1356
April,16,57,986
April,16,58,3156
April,16,59,588
April,16,61,1770
April,16,62,1373
April,16,63,2348
April,16,65,1917
April,16,66,3922
April,17,1,4345
April,17,2,3438
April,17,3,4564
April,17,4,5037
April,17,5,3605
April,17,6,4720
April,17,7,2185
April,17,8,2093
April,17,9,2157
April,17,10,722
April,17,11,876
April,17,12,2704
April,17,17,2016
April,17,18,1180
April,17,19,1944
April,17,20,884
April,17,21,3006
April,17,22,10708
April,17,23,1654
April,17,24,5646
April,17,25,4905
April,17,26,4901
April,17,27,1168
April,17,28,2741
April,17,29,1317
April,17,30,1840
April,17,31,1573
April,17,34,701
April,17,35,6210
April,17,36,1539
April,17,37,920
April,17,39,718
April,17,40,1218
April,17,41,5971
April,17,42,736
April,17,43,374
April,17,44,355
April,17,45,3108
April,17,46,481
April,17,47,4923
April,17,48,1777
April,17,49,2227
April,17,50,1572
April,17,51,1365
April,17,52,1550
April,17,53,2874
April,17,54,693
April,17,55,7548
April,17,56,1726
April,17,57,918
April,17,58,3398
April,17,59,602
April,17,61,1851
April,17,62,1414
April,17,63,2563
April,17,65,1947
April,17,66,4290
April,18,1,3776
April,18,2,3122
April,18,3,4586
April,18,4,4081
April,18,5,3155
April,18,6,3894
April,18,7,2856
April,18,8,2395
April,18,9,991
April,18,10,570
April,18,11,986
April,18,12,3075
April,18,17,1085
April,18,18,611
April,18,19,1881
April,18,20,767
April,18,21,2666
April,18,22,8648
April,18,23,829
April,18,24,3377
April,18,25,5705
April,18,26,5855
April,18,27,1670
April,18,28,2194
April,18,29,1588
April,18,30,1607
April,18,31,1453
April,18,34,709
April,18,35,6864
April,18,36,591
April,18,37,849
April,18,39,267
April,18,40,680
April,18,41,4618
April,18,42,552
April,18,43,342
April,18,44,245
April,18,45,2416
April,18,46,313
April,18,47,3423
April,18,48,7257
April,18,49,2890
April,18,50,1591
April,18,51,1454
April,18,52,1168
April,18,53,1714
April,18,54,521
April,18,55,6505
April,18,56,1299
April,18,57,611
April,18,58,1932
April,18,59,584
April,18,61,1721
April,18,62,1317
April,18,63,1640
April,18,64,599
April,18,65,1710
April,18,66,4428
April,19,1,3918
April,19,2,2825
April,19,3,4472
April,19,4,3818
April,19,5,3283
April,19,6,3502
April,19,7,4166
April,19,8,3313
April,19,9,666
April,19,10,419
April,19,11,1414
April,19,12,4212
April,19,17,822
April,19,18,519
April,19,19,1890
April,19,20,750
April,19,21,2735
April,19,22,8763
April,19,23,761
April,19,24,3086
April,19,25,7818
April,19,26,5624
April,19,27,1379
April,19,28,2604
April,19,29,2211
April,19,30,1456
April,19,31,1263
April,19,34,671
April,19,35,9221
April,19,36,561
April,19,37,725
April,19,39,164
April,19,40,661
April,19,41,4087
April,19,42,565
April,19,43,431
April,19,44,371
April,19,45,2343
April,19,46,334
April,19,47,3148
April,19,48,2106
April,19,49,2559
April,19,50,1254
April,19,51,1238
April,19,52,987
April,19,53,1319
April,19,54,529
April,19,55,6135
April,19,56,1184
April,19,57,548
April,19,58,1950
April,19,59,552
April,19,61,1584
April,19,62,1187
April,19,63,1459
April,19,64,679
April,19,65,1873
April,19,66,4286
April,20,1,4010
April,20,2,3050
April,20,3,4014
April,20,4,4628
April,20,5,3348
April,20,6,4584
April,20,7,1929
April,20,8,1865
April,20,9,2199
April,20,10,787
April,20,11,870
April,20,12,2734
April,20,17,2160
April,20,18,1225
April,20,19,1770
April,20,20,785
April,20,21,2541
April,20,22,10847
April,20,23,1646
April,20,24,5931
April,20,25,4216
April,20,26,3259
April,20,27,733
April,20,28,2604
April,20,29,1146
April,20,30,1608
April,20,31,1474
April,20,34,776
April,20,35,5875
April,20,36,1323
April,20,37,851
April,20,39,746
April,20,40,1236
April,20,41,5967
April,20,42,606
April,20,43,492
April,20,44,365
April,20,45,2810
April,20,46,433
April,20,47,4533
April,20,48,1075
April,20,49,1778
April,20,50,1118
April,20,51,1334
April,20,52,1423
April,20,53,3129
April,20,54,605
April,20,55,6646
April,20,56,1687
April,20,57,788
April,20,58,3223
April,20,59,569
April,20,61,1816
April,20,62,1222
April,20,63,2444
April,20,64,1022
April,20,65,1814
April,20,66,3733
April,21,1,4484
April,21,2,3269
April,21,3,4227
April,21,4,4841
April,21,5,3631
April,21,6,4874
April,21,7,2469
April,21,8,2379
April,21,9,2412
April,21,10,836
April,21,11,1004
April,21,12,3144
April,21,17,2134
April,21,18,1180
April,21,19,1843
April,21,20,761
April,21,21,2944
April,21,22,11555
April,21,23,1702
April,21,24,5938
April,21,25,5577
April,21,26,4979
April,21,27,1169
April,21,28,2996
April,21,29,1504
April,21,30,1702
April,21,31,1537
April,21,34,847
April,21,35,7417
April,21,36,1429
April,21,37,859
April,21,39,774
April,21,40,1318
April,21,41,6279
April,21,42,672
April,21,43,475
April,21,44,356
April,21,45,2942
April,21,46,503
April,21,47,4785
April,21,48,1738
April,21,49,2392
April,21,50,1211
April,21,51,1372
April,21,52,1426
April,21,53,3310
April,21,54,604
April,21,55,7263
April,21,56,1633
April,21,57,1189
April,21,58,3508
April,21,59,630
April,21,61,1837
April,21,62,1501
April,21,63,2388
April,21,64,1195
April,21,65,2025
April,21,66,4052
April,22,1,4161
April,22,2,3318
April,22,3,4563
April,22,4,4787
April,22,5,3647
April,22,6,4717
April,22,7,2452
April,22,8,2275
April,22,9,2360
April,22,10,755
April,22,11,1065
April,22,12,3133
April,22,17,2195
April,22,18,1232
April,22,19,1763
April,22,20,957
April,22,21,2679
April,22,22,10948
April,22,23,1683
April,22,24,5759
April,22,25,5245
April,22,26,3739
April,22,27,943
April,22,28,2779
April,22,29,1370
April,22,30,1654
April,22,31,1565
April,22,34,734
April,22,35,6694
April,22,36,1457
April,22,37,927
April,22,39,818
April,22,40,1406
April,22,41,6477
April,22,42,729
April,22,43,531
April,22,44,383
April,22,45,3285
April,22,46,494
April,22,47,4576
April,22,48,1217
April,22,49,2043
April,22,50,1329
April,22,51,1500
April,22,52,1404
April,22,53,3029
April,22,54,623
April,22,55,7044
April,22,56,1775
April,22,57,971
April,22,58,3544
April,22,59,643
April,22,61,2007
April,22,62,1542
April,22,63,2381
April,22,64,1215
April,22,65,2081
April,22,66,4195
April,23,1,4398
April,23,2,3195
April,23,3,4429
April,23,4,4902
April,23,5,3990
April,23,6,4899
April,23,7,2106
April,23,8,2009
April,23,9,2338
April,23,10,886
April,23,11,791
April,23,12,2530
April,23,17,2154
April,23,18,1325
April,23,19,1859
April,23,20,672
April,23,21,2789
April,23,22,10872
April,23,23,1686
April,23,24,6009
April,23,25,4859
April,23,26,4825
April,23,27,1139
April,23,28,2753
April,23,29,1440
April,23,30,1731
April,23,31,1614
April,23,34,769
April,23,35,6454
April,23,36,1295
April,23,37,868
April,23,39,760
April,23,40,1221
April,23,41,6166
April,23,42,687
April,23,43,403
April,23,44,331
April,23,45,3103
April,23,46,458
April,23,47,4839
April,23,48,1754
April,23,49,2483
April,23,50,1293
April,23,51,1357
April,23,52,1468
April,23,53,3007
April,23,54,579
April,23,55,7051
April,23,56,1659
April,23,57,934
April,23,58,3336
April,23,59,602
April,23,61,1956
April,23,62,1358
April,23,63,2455
April,23,64,1118
April,23,65,1962
April,23,66,4140
April,24,1,5409
April,24,2,3745
April,24,3,5286
April,24,4,5625
April,24,5,4224
April,24,6,5672
April,24,7,2786
April,24,8,2604
April,24,9,2346
April,24,10,910
April,24,11,1142
April,24,12,3686
April,24,17,2169
April,24,18,1305
April,24,19,2267
April,24,20,775
April,24,21,3307
April,24,22,12675
April,24,23,1708
April,24,24,6001
April,24,25,6339
April,24,26,5503
April,24,27,1342
April,24,28,3392
April,24,29,1869
April,24,30,2015
April,24,31,1929
April,24,34,921
April,24,35,8639
April,24,36,1388
April,24,37,1014
April,24,39,755
April,24,40,1235
April,24,41,6905
April,24,42,890
April,24,43,543
April,24,44,423
April,24,45,3537
April,24,46,557
April,24,47,5477
April,24,48,2116
April,24,49,2853
April,24,50,1702
April,24,51,1529
April,24,52,1424
April,24,53,3315
April,24,54,732
April,24,55,8202
April,24,56,1969
April,24,57,1208
April,24,58,3666
April,24,59,548
April,24,61,2197
April,24,62,1661
April,24,63,2754
April,24,64,1244
April,24,65,2412
April,24,66,4776
April,25,1,4269
April,25,2,3141
April,25,3,5558
April,25,4,4601
April,25,5,4140
April,25,6,4201
April,25,7,4150
April,25,8,3201
April,25,9,810
April,25,10,654
April,25,11,1352
April,25,12,3923
April,25,17,1108
April,25,18,470
April,25,19,2485
April,25,20,807
April,25,21,2958
April,25,22,10182
April,25,23,856
April,25,24,3597
April,25,25,7900
April,25,26,4712
April,25,27,1267
April,25,28,2960
April,25,29,2592
April,25,30,1908
April,25,31,1707
April,25,34,717
April,25,35,9795
April,25,36,531
April,25,37,957
April,25,39,189
April,25,40,821
April,25,41,4725
April,25,42,541
April,25,43,536
April,25,44,376
April,25,45,3000
April,25,46,369
April,25,47,4085
April,25,48,2045
April,25,49,2310
April,25,50,1909
April,25,51,1209
April,25,52,1133
April,25,53,1824
April,25,54,581
April,25,55,7284
April,25,56,1178
April,25,57,653
April,25,58,2157
April,25,59,692
April,25,61,1724
April,25,62,1601
April,25,63,1669
April,25,64,758
April,25,65,2175
April,25,66,5213
April,26,1,4085
April,26,2,2840
April,26,3,4520
April,26,4,3957
April,26,5,2981
April,26,6,3393
April,26,7,2179
April,26,8,1987
April,26,9,685
April,26,10,393
April,26,11,793
April,26,12,2741
April,26,17,628
April,26,18,506
April,26,19,1999
April,26,20,700
April,26,21,2616
April,26,22,8507
April,26,23,787
April,26,24,3074
April,26,25,4443
April,26,26,6349
April,26,27,1679
April,26,28,2105
April,26,29,1527
April,26,30,1573
April,26,31,1381
April,26,34,494
April,26,35,5783
April,26,36,495
April,26,37,748
April,26,39,144
April,26,40,564
April,26,41,4034
April,26,42,456
April,26,43,415
April,26,44,321
April,26,45,2241
April,26,46,287
April,26,47,3804
April,26,48,10645
April,26,49,3444
April,26,50,1390
April,26,51,1433
April,26,52,1047
April,26,53,1655
April,26,54,301
April,26,55,6644
April,26,56,1218
April,26,57,419
April,26,58,1822
April,26,59,491
April,26,61,1747
April,26,62,1268
April,26,63,1307
April,26,64,555
April,26,65,1545
April,26,66,4398
April,27,1,5098
April,27,2,3550
April,27,3,4968
April,27,4,5351
April,27,5,4167
April,27,6,5060
April,27,7,2737
April,27,8,2708
April,27,9,2136
April,27,10,824
April,27,11,1192
April,27,12,3487
April,27,17,2140
April,27,18,1340
April,27,19,2037
April,27,20,698
April,27,21,3296
April,27,22,11880
April,27,23,1854
April,27,24,5606
April,27,25,6241
April,27,26,3579
April,27,27,865
April,27,28,3425
April,27,29,1630
April,27,30,1865
April,27,31,1603
April,27,34,825
April,27,35,7939
April,27,36,1217
April,27,37,881
April,27,39,745
April,27,40,1330
April,27,41,6014
April,27,42,640
April,27,43,494
April,27,44,379
April,27,45,3358
April,27,46,499
April,27,47,4970
April,27,48,1299
April,27,49,1878
April,27,50,1420
April,27,51,1175
April,27,52,1530
April,27,53,3465
April,27,54,479
April,27,55,7102
April,27,56,1593
April,27,57,899
April,27,58,3510
April,27,59,548
April,27,61,1614
April,27,62,1214
April,27,63,2376
April,27,64,1205
April,27,65,2350
April,27,66,4379
April,28,1,5012
April,28,2,3674
April,28,3,4741
April,28,4,5617
April,28,5,3803
April,28,6,5172
April,28,7,2584
April,28,8,2469
April,28,9,2325
April,28,10,756
April,28,11,918
April,28,12,2839
April,28,17,2316
April,28,18,1399
April,28,19,1893
April,28,20,948
April,28,21,3049
April,28,22,11738
April,28,23,1908
April,28,24,6201
April,28,25,5661
April,28,26,5085
April,28,27,1288
April,28,28,3117
April,28,29,1477
April,28,30,1991
April,28,31,1472
April,28,34,890
April,28,35,7127
April,28,36,1250
April,28,37,409
April,28,39,781
April,28,40,1361
April,28,41,6329
April,28,42,682
April,28,43,505
April,28,44,410
April,28,45,3416
April,28,46,426
April,28,47,4959
April,28,48,2007
April,28,49,2468
April,28,50,1330
April,28,51,1402
April,28,52,1527
April,28,53,3520
April,28,54,566
April,28,55,7179
April,28,56,1598
April,28,58,3762
April,28,59,588
April,28,61,1847
April,28,62,1407
April,28,63,2493
April,28,64,1250
April,28,65,2241
April,28,66,4341
